label,text
PRETOX_REL,"At 3 mg / kg , a pronounced decrease of terminal body weight and of absolute and relative thymus and spleen weights were found in one male ."
PRETOX_REL,"The main finding was atrophy of epithelium in various organs , often accompanied by inflammation ."
NO_PRETOX_REL,_ The evaluation of blood pressure and of heart rates ( for individual and mean values see â € ™ appendix of the report ) showed no adverse effects up to and including group ltl .
NO_PRETOX_REL,No relevant changes were found in females .
PRETOX_REL,"Adverse treatment - related effects were limited to slight , reversible degenerative changes in the sciatic nerve of female rats at all dose levels ."
PRETOX_REL,Increases in aspartate aminotransferase were present at doses of 1.0 mg / kg / occasion but lacked any microscopic correlate .
NO_PRETOX_REL,"There were no test article - related effects on clinical pathology parameters ( hematology , serum chemistry or urinalysis ) ."
PRETOX_REL,Peripheral neuropathy has been observed in rats subjected to a continuous 72 hour insulin infusion in which glucose levels of approximately 2.5 mM ( 45 mg / dl ) were sustained [ 5 ] .
PRETOX_REL,"Two group III ( 30/60 mg / kg ) - males showed pigment deposition , and one group III ( 30/60 mg / kg ) - male a small area of acute myocardial necrosis ."
PRETOX_REL,"Additionally , after the high dose of 100 mg / kg COMPOUND_XXX per day : - At necropsy , cystic dilatation of the mesovarium was noted in one animal ( suspected compound - related ) ."
NO_PRETOX_REL,"Toxicokinetic evaluations were conducted on plasma samples collected on study days 1 and during week 13 at 5 minutes , 0.5 , 2 , 4 , and 24 hours post dose ."
PRETOX_REL,"Uterus , ovaries and mammary glands exhibited vacuolations ."
NO_PRETOX_REL,A comparison of C max at the different dose levels shows a linear increase with a dose proportionality factor exceeding the dose increase ( TF 2 ) .
PRETOX_REL,The overall mean cumulative body weight gain on Day 28 was reduced by 12 % compared with the control females .
NO_PRETOX_REL,"Protocol - specified organs were weighed , tissues were collected , processed and microscopically examined ."
NO_PRETOX_REL,"Although there was no consistent difference in exposure observed between male and female dogs , the apparently greater AUC and Cmax values in females at 45 mg / kg / day , albeit with large variations , taken together with the clinical signs noted primarily in females at 45 mg / kg / day , and body weight and food consumption effects at the same dose , supports the conclusion that there was a greater exposure in females at the high dose ."
PRETOX_REL,Findings after the high dose of 150/100 mg / kg COMPOUND_XXX are regarded as signs of general toxicity of the compound .
PRETOX_REL,"Accordingly , body weight gain was decreased by approximately 50 % ( males ) and 70 % ( females ) ."
NO_PRETOX_REL,All organ weight changes were observed in both relative and absolute values .
PRETOX_REL,"These changes were similarly noted from day 3 to day 15 , with the exception of minimal hypertrophy of Paneth cells in the ileal crypts , which was most obvious on day 3 ."
PRETOX_REL,"Minimal to slight focal and / or macular erythema affecting parts of the application area was evident during several days in two females treated with the reference item , in one male and one female at 100 mg / kg and in two males at 200 mg / kg from weeks 4 to 9 ."
PRETOX_REL,One female from the high dose group developed emaciation and exsiccosis .
PRETOX_REL,"- The effects in the male genital organs were of progressive nature leading to complete loss of spermatogenesis , occurrence of tubular giant cells in the testes , and reduced secretion in the prostate gland with dense , inactive epithelia ."
NO_PRETOX_REL,"COMPOUND_XXX ( hydrochloride , batch no ."
NO_PRETOX_REL,"After the end of the treatment period , the surviving recovery animals were observed for at least a further 8 weeks to investigate the reversibility of possible treatment related effects ."
PRETOX_REL,The alterations were associated with the appearance of antinucleolar antibodies in the liver .
PRETOX_REL,The acute nearly complete necrosis of the liver parenchyma ( red dystrophy ) was responsible for the premature death or of the moribund condition of the female animals .
NO_PRETOX_REL,Transmission electron microscopy was performed on livers from selected animals .
PRETOX_REL,"A dose - dependent , statistically significant inhibition of the DAO activity in the jejunal mucosa was evident in both treated groups at all 8 time points ."
NO_PRETOX_REL,"Five groups of 6 male and 6 female rats for the toxicity study and five groups of 10 male and 10 female rats for the toxicokinetic study were given 0 , 30 , 100 , 300 or 600 mg / kg / day for five days ."
PRETOX_REL,"The degree of inhibition was similar during the course of the last treatment day at 600 mg / kg , but showed a variation at 60 mg / kg / day with a higher enzyme inhibition during the night ."
NO_PRETOX_REL,Ophthalmoscopic assessments were undertaken on all animals during pretrial and on Control and High dose animals after approximately 26 weeks of dosing .
PRETOX_REL,The body weight loss noted at 1.0 mg / kg / occasion correlated with an observed decrease in food consumption .
PRETOX_REL,Summary of results The following treatment - related finding were observed at the low dose of 0.2 mg / kg COMPOUND_XXX and higher : - hepatocellular hypertrophy in the liver with increased incidence and severity ; - acinar hypertrophy of the parotid gland .
NO_PRETOX_REL,"The tables give the counts of ASAT , ALAT , APh , GLDH , GGT , LDH , CK , GLUCOSE , CHOL , TRIGL , CREA , UREA , BILI - t , PROT , ALBUMIN , Na , K , Ca , Cl , P , Fe , Mg , T3 , 14 , and from the liver tissue the parameters N - DEM , O - DEM , P 450 , and TRIGL ( for the use of abbreviations see List of methods in the appendix of the report ) 22 COMPOUND_XXX T 1071175 eS ETT As can be seen from the tables , no changes were detected up to and including group Ul ."
NO_PRETOX_REL,"Exposures were generally higher in females than in males , especially in the low dose group ."
PRETOX_REL,"At this same dose , animals exhibited skin anomalies such as desquamations traducing as hyperplasia and hyperkeratosis histologically , indurations and increased vulnerability ."
NO_PRETOX_REL,Conclusion No NOEL could be established in this study .
